RUN	learngatling.SetUpUserLoad	setupuserload	1549415576677	 	3.0.2
USER	SE1	1	START	1549415579586	1549415579586
USER	SE1	2	START	1549415579624	1549415579624
USER	SE2	6	START	1549415579629	1549415579629
USER	SE2	7	START	1549415579633	1549415579633
USER	SE1	3	START	1549415580131	1549415580131
USER	SE2	8	START	1549415580592	1549415580592
USER	SE1	4	START	1549415580634	1549415580634
REQUEST	6		Homepage	1549415579632	1549415580923	OK	 
REQUEST	2		Homepage	1549415579624	1549415581044	OK	 
REQUEST	1		Homepage	1549415579617	1549415581051	OK	 
REQUEST	7		Homepage	1549415579633	1549415581065	OK	 
REQUEST	3		Homepage	1549415580132	1549415581373	OK	 
USER	SE2	9	START	1549415581591	1549415581591
REQUEST	8		Homepage	1549415580594	1549415581622	OK	 
USER	SE1	5	START	1549415581629	1549415581629
REQUEST	4		Homepage	1549415580636	1549415581888	OK	 
REQUEST	9		Homepage	1549415581593	1549415582549	OK	 
USER	SE2	11	START	1549415582593	1549415582593
USER	SE1	10	START	1549415582593	1549415582593
REQUEST	5		Homepage	1549415581630	1549415582666	OK	 
REQUEST	10		Homepage	1549415582594	1549415583474	OK	 
REQUEST	11		Homepage	1549415582594	1549415583552	OK	 
USER	SE1	12	START	1549415583584	1549415583584
REQUEST	12		Homepage	1549415583585	1549415585648	OK	 
REQUEST	1		SearchFlight	1549415617513	1549415617789	OK	 
REQUEST	4		SearchFlight	1549415618333	1549415618602	OK	 
REQUEST	10		SearchFlight	1549415618556	1549415618860	OK	 
REQUEST	3		SearchFlight	1549415618601	1549415618877	OK	 
REQUEST	2		SearchFlight	1549415618865	1549415619098	OK	 
REQUEST	5		SearchFlight	1549415618891	1549415619122	OK	 
REQUEST	12		SearchFlight	1549415618911	1549415619145	OK	 
USER	SE1	1	END	1549415579586	1549415629294
REQUEST	7		SearchFlight	1549415629101	1549415629355	OK	 
REQUEST	8		SearchFlight	1549415629191	1549415629441	OK	 
REQUEST	6		SearchFlight	1549415629695	1549415630051	OK	 
USER	SE1	4	END	1549415580634	1549415630123
USER	SE1	10	END	1549415582593	1549415630354
REQUEST	11		SearchFlight	1549415630134	1549415630386	OK	 
USER	SE1	3	END	1549415580131	1549415630431
REQUEST	9		SearchFlight	1549415630160	1549415630467	OK	 
USER	SE1	2	END	1549415579624	1549415630542
USER	SE1	5	END	1549415581629	1549415630600
USER	SE1	12	END	1549415583584	1549415630610
