RUN	learngatling.SetUpUserLoad	setupuserload	1549416016292	 	3.0.2
USER	SE1	1	START	1549416019022	1549416019022
USER	SE1	2	START	1549416019056	1549416019056
USER	SE2	4	START	1549416019059	1549416019059
USER	SE2	5	START	1549416019062	1549416019062
REQUEST	2		Homepage	1549416019056	1549416020308	OK	 
USER	SE1	3	START	1549416021066	1549416021066
USER	SE2	6	START	1549416022035	1549416022035
REQUEST	3		Homepage	1549416021068	1549416023023	OK	 
REQUEST	1		Homepage	1549416019048	1549416023028	OK	 
USER	SE1	7	START	1549416023034	1549416023034
REQUEST	6		Homepage	1549416022037	1549416023235	OK	 
REQUEST	5		Homepage	1549416019062	1549416023241	OK	 
REQUEST	4		Homepage	1549416019061	1549416023247	OK	 
REQUEST	7		Homepage	1549416023037	1549416023961	OK	 
USER	SE1	8	START	1549416025035	1549416025035
USER	SE2	9	START	1549416025035	1549416025035
REQUEST	8		Homepage	1549416025036	1549416026063	OK	 
REQUEST	9		Homepage	1549416025036	1549416026080	OK	 
USER	SE1	10	START	1549416027028	1549416027028
REQUEST	10		Homepage	1549416027029	1549416027971	OK	 
REQUEST	2		SearchFlight	1549416053827	1549416054094	OK	 
REQUEST	3		SearchFlight	1549416054538	1549416054811	OK	 
REQUEST	1		SearchFlight	1549416055164	1549416055411	OK	 
REQUEST	7		SearchFlight	1549416055819	1549416056085	OK	 
REQUEST	8		SearchFlight	1549416056126	1549416056364	OK	 
REQUEST	10		SearchFlight	1549416056147	1549416056380	OK	 
USER	SE1	2	END	1549416019056	1549416065642
REQUEST	4		SearchFlight	1549416065886	1549416066177	OK	 
USER	SE1	3	END	1549416021066	1549416066358
REQUEST	6		SearchFlight	1549416066358	1549416066615	OK	 
USER	SE1	1	END	1549416019022	1549416066869
REQUEST	5		SearchFlight	1549416066744	1549416067099	OK	 
USER	SE1	7	END	1549416023034	1549416067579
REQUEST	9		SearchFlight	1549416067358	1549416067614	OK	 
USER	SE1	10	END	1549416027028	1549416067877
USER	SE1	8	END	1549416025035	1549416067877
REQUEST	4		SelectFlight	1549416077657	1549416077952	OK	 
REQUEST	6		SelectFlight	1549416078114	1549416078435	OK	 
REQUEST	5		SelectFlight	1549416078637	1549416078977	OK	 
