RUN	learngatling.SetUpUserLoad	setupuserload	1549414385641	 	3.0.2
USER	SE1	1	START	1549414388361	1549414388361
USER	SE1	2	START	1549414388398	1549414388398
USER	SE1	3	START	1549414388399	1549414388399
USER	SE1	4	START	1549414388400	1549414388400
USER	SE1	5	START	1549414388401	1549414388401
USER	SE2	6	START	1549414388403	1549414388403
USER	SE2	7	START	1549414388405	1549414388405
USER	SE2	8	START	1549414388406	1549414388406
USER	SE2	9	START	1549414388407	1549414388407
USER	SE2	10	START	1549414388408	1549414388408
REQUEST	7		Homepage	1549414388406	1549414389983	OK	 
REQUEST	10		Homepage	1549414388408	1549414389974	OK	 
REQUEST	8		Homepage	1549414388406	1549414389963	OK	 
REQUEST	6		Homepage	1549414388405	1549414389994	OK	 
REQUEST	2		Homepage	1549414388399	1549414389966	OK	 
REQUEST	9		Homepage	1549414388407	1549414390016	OK	 
REQUEST	5		Homepage	1549414388401	1549414390109	OK	 
REQUEST	1		Homepage	1549414388392	1549414390267	OK	 
REQUEST	3		Homepage	1549414388400	1549414390279	OK	 
REQUEST	4		Homepage	1549414388401	1549414390363	OK	 
REQUEST	1		SearchFlight	1549414406617	1549414406869	OK	 
REQUEST	2		SearchFlight	1549414406642	1549414406933	OK	 
REQUEST	4		SearchFlight	1549414406642	1549414406965	OK	 
REQUEST	3		SearchFlight	1549414406722	1549414406988	OK	 
REQUEST	5		SearchFlight	1549414406874	1549414407151	OK	 
REQUEST	9		SearchFlight	1549414417752	1549414418055	OK	 
REQUEST	10		SearchFlight	1549414417773	1549414418068	OK	 
REQUEST	6		SearchFlight	1549414417805	1549414418096	OK	 
REQUEST	7		SearchFlight	1549414417972	1549414418252	OK	 
USER	SE1	1	END	1549414388361	1549414418368
USER	SE1	2	END	1549414388398	1549414418371
REQUEST	8		SearchFlight	1549414418157	1549414418424	OK	 
USER	SE1	4	END	1549414388400	1549414418434
USER	SE1	3	END	1549414388399	1549414418444
USER	SE1	5	END	1549414388401	1549414418644
REQUEST	6		SelectFlight	1549414429535	1549414429834	OK	 
REQUEST	10		SelectFlight	1549414429525	1549414429814	OK	 
REQUEST	7		SelectFlight	1549414429703	1549414429960	OK	 
REQUEST	9		SelectFlight	1549414429514	1549414430038	OK	 
REQUEST	8		SelectFlight	1549414429854	1549414430237	OK	 
REQUEST	10		BookFlight	1549414441484	1549414442376	OK	 
REQUEST	7		BookFlight	1549414441489	1549414442870	OK	 
REQUEST	9		BookFlight	1549414441503	1549414443322	OK	 
REQUEST	6		BookFlight	1549414441494	1549414443542	OK	 
REQUEST	8		BookFlight	1549414441716	1549414443960	OK	 
REQUEST	10		BookFlight Redirect 1	1549414442381	1549414443974	OK	 
REQUEST	7		BookFlight Redirect 1	1549414442872	1549414443983	OK	 
REQUEST	9		BookFlight Redirect 1	1549414443323	1549414443993	OK	 
REQUEST	6		BookFlight Redirect 1	1549414443543	1549414444005	OK	 
REQUEST	8		BookFlight Redirect 1	1549414443962	1549414444239	OK	 
USER	SE2	9	END	1549414388407	1549414445458
USER	SE2	7	END	1549414388405	1549414445460
USER	SE2	6	END	1549414388403	1549414445465
USER	SE2	10	END	1549414388408	1549414445468
USER	SE2	8	END	1549414388406	1549414445672
