RUN	myfirstpackage.SetUpUserLoadClosedSystem	setupuserloadclosedsystem	1549515822341	 	3.0.2
REQUEST	17		SelectFlight	1549515919323	1549515919869	OK	 
REQUEST	18		SelectFlight	1549515920235	1549515920728	OK	 
REQUEST	22		SelectFlight	1549515924454	1549515924793	OK	 
REQUEST	24		SelectFlight	1549515928130	1549515928472	OK	 
REQUEST	17		BookFlight	1549515931636	1549515932138	OK	 
REQUEST	17		BookFlight Redirect 1	1549515932138	1549515932447	OK	 
REQUEST	18		BookFlight	1549515932442	1549515932804	OK	 
REQUEST	18		BookFlight Redirect 1	1549515932804	1549515933078	OK	 
USER	SE2	17	END	1549515880126	1549515934246
USER	SE2	18	END	1549515881672	1549515934820
REQUEST	22		BookFlight	1549515936312	1549515936702	OK	 
REQUEST	22		BookFlight Redirect 1	1549515936703	1549515937280	OK	 
USER	SE2	22	END	1549515885676	1549515939083
REQUEST	24		BookFlight	1549515940022	1549515941576	OK	 
REQUEST	24		BookFlight Redirect 1	1549515941577	1549515941878	OK	 
USER	SE2	24	END	1549515888768	1549515943668
