RUN	learngatling.SetUpUserLoadOpensystem	setupuserloadopensystem	1549513122630	 	3.0.2
USER	SE1	1	START	1549513124347	1549513124347
USER	SE2	4	START	1549513124379	1549513124379
USER	SE2	5	START	1549513125347	1549513125347
USER	SE1	2	START	1549513125379	1549513125379
REQUEST	4		Homepage	1549513124381	1549513125378	OK	 
REQUEST	1		Homepage	1549513124374	1549513125378	OK	 
REQUEST	2		Homepage	1549513125380	1549513126263	OK	 
REQUEST	5		Homepage	1549513125350	1549513126273	OK	 
USER	SE2	6	START	1549513126349	1549513126349
USER	SE1	3	START	1549513126391	1549513126391
REQUEST	6		Homepage	1549513126350	1549513127227	OK	 
REQUEST	3		Homepage	1549513126392	1549513127318	OK	 
USER	SE1	7	START	1549513127348	1549513127348
USER	SE2	8	START	1549513127347	1549513127347
REQUEST	7		Homepage	1549513127350	1549513128239	OK	 
REQUEST	8		Homepage	1549513127350	1549513128253	OK	 
USER	SE2	10	START	1549513128349	1549513128349
USER	SE1	9	START	1549513128349	1549513128349
REQUEST	10		Homepage	1549513128350	1549513129332	OK	 
REQUEST	9		Homepage	1549513128350	1549513129339	OK	 
USER	SE1	11	START	1549513129347	1549513129347
USER	SE2	12	START	1549513129347	1549513129347
REQUEST	11		Homepage	1549513129348	1549513130281	OK	 
USER	SE1	13	START	1549513130346	1549513130346
USER	SE2	14	START	1549513130346	1549513130346
REQUEST	12		Homepage	1549513129348	1549513130378	OK	 
REQUEST	14		Homepage	1549513130346	1549513131262	OK	 
REQUEST	13		Homepage	1549513130346	1549513131296	OK	 
USER	SE2	16	START	1549513131350	1549513131350
USER	SE1	15	START	1549513131350	1549513131350
REQUEST	16		Homepage	1549513131350	1549513132260	OK	 
USER	SE2	18	START	1549513132346	1549513132346
USER	SE1	17	START	1549513132346	1549513132346
REQUEST	15		Homepage	1549513131350	1549513132408	OK	 
REQUEST	18		Homepage	1549513132347	1549513133261	OK	 
USER	SE2	20	START	1549513133347	1549513133347
USER	SE1	19	START	1549513133347	1549513133347
REQUEST	17		Homepage	1549513132348	1549513133526	OK	 
REQUEST	20		Homepage	1549513133350	1549513134233	OK	 
REQUEST	19		Homepage	1549513133350	1549513134293	OK	 
USER	SE2	22	START	1549513134346	1549513134346
USER	SE1	21	START	1549513134346	1549513134346
REQUEST	22		Homepage	1549513134348	1549513135331	OK	 
USER	SE1	23	START	1549513135351	1549513135351
USER	SE2	24	START	1549513135351	1549513135351
REQUEST	21		Homepage	1549513134348	1549513135363	OK	 
USER	SE1	25	START	1549513136352	1549513136352
USER	SE2	26	START	1549513136352	1549513136352
REQUEST	24		Homepage	1549513135352	1549513136463	OK	 
REQUEST	23		Homepage	1549513135352	1549513136550	OK	 
REQUEST	26		Homepage	1549513136353	1549513137337	OK	 
USER	SE2	28	START	1549513137342	1549513137342
USER	SE1	27	START	1549513137342	1549513137342
REQUEST	25		Homepage	1549513136353	1549513137353	OK	 
USER	SE1	29	START	1549513138336	1549513138336
USER	SE2	30	START	1549513138346	1549513138346
REQUEST	28		Homepage	1549513137344	1549513138399	OK	 
REQUEST	27		Homepage	1549513137344	1549513138483	OK	 
REQUEST	30		Homepage	1549513138349	1549513139282	OK	 
REQUEST	29		Homepage	1549513138338	1549513139332	OK	 
USER	SE1	31	START	1549513139346	1549513139346
USER	SE2	32	START	1549513139346	1549513139346
USER	SE1	33	START	1549513140350	1549513140350
USER	SE2	34	START	1549513140350	1549513140350
REQUEST	32		Homepage	1549513139348	1549513141291	OK	 
USER	SE1	35	START	1549513141338	1549513141338
USER	SE2	36	START	1549513141338	1549513141338
REQUEST	31		Homepage	1549513139348	1549513141402	OK	 
REQUEST	34		Homepage	1549513140353	1549513141624	OK	 
REQUEST	33		Homepage	1549513140352	1549513141849	OK	 
USER	SE1	37	START	1549513142336	1549513142336
USER	SE2	38	START	1549513142346	1549513142346
REQUEST	35		Homepage	1549513141341	1549513142456	OK	 
REQUEST	36		Homepage	1549513141341	1549513142500	OK	 
REQUEST	1		SearchFlight	1549513142108	1549513143136	OK	 
