RUN	learngatling.SetUpUserLoad	setupuserload	1549415795792	 	3.0.2
USER	SE1	1	START	1549415798582	1549415798582
USER	SE1	2	START	1549415798619	1549415798619
USER	SE2	4	START	1549415798623	1549415798623
USER	SE2	5	START	1549415798627	1549415798627
USER	SE1	3	START	1549415800622	1549415800622
REQUEST	2		Homepage	1549415798620	1549415800568	OK	 
REQUEST	5		Homepage	1549415798628	1549415800568	OK	 
REQUEST	4		Homepage	1549415798626	1549415800568	OK	 
REQUEST	1		Homepage	1549415798610	1549415800794	OK	 
REQUEST	3		Homepage	1549415800623	1549415801587	OK	 
USER	SE2	6	START	1549415801597	1549415801597
REQUEST	6		Homepage	1549415801600	1549415802568	OK	 
USER	SE1	7	START	1549415802582	1549415802582
REQUEST	7		Homepage	1549415802583	1549415803580	OK	 
USER	SE1	8	START	1549415804594	1549415804594
USER	SE2	9	START	1549415804594	1549415804594
REQUEST	8		Homepage	1549415804597	1549415805468	OK	 
REQUEST	9		Homepage	1549415804597	1549415805544	OK	 
USER	SE1	10	START	1549415806595	1549415806595
REQUEST	10		Homepage	1549415806596	1549415807478	OK	 
REQUEST	2		SearchFlight	1549415817009	1549415817252	OK	 
REQUEST	1		SearchFlight	1549415817413	1549415817662	OK	 
REQUEST	3		SearchFlight	1549415818473	1549415818776	OK	 
REQUEST	7		SearchFlight	1549415820783	1549415821029	OK	 
REQUEST	8		SearchFlight	1549415822203	1549415822449	OK	 
REQUEST	10		SearchFlight	1549415822423	1549415822718	OK	 
REQUEST	4		SearchFlight	1549415827034	1549415827378	OK	 
REQUEST	5		SearchFlight	1549415827415	1549415827684	OK	 
USER	SE1	2	END	1549415798619	1549415828790
USER	SE1	1	END	1549415798582	1549415829122
USER	SE1	3	END	1549415800622	1549415830326
REQUEST	6		SearchFlight	1549415830618	1549415830961	OK	 
USER	SE1	7	END	1549415802582	1549415832666
REQUEST	9		SearchFlight	1549415833498	1549415833757	OK	 
USER	SE1	8	END	1549415804594	1549415833975
USER	SE1	10	END	1549415806595	1549415834205
REQUEST	4		SelectFlight	1549415838984	1549415839238	OK	 
REQUEST	5		SelectFlight	1549415839233	1549415839525	OK	 
REQUEST	6		SelectFlight	1549415842607	1549415842942	OK	 
REQUEST	9		SelectFlight	1549415845267	1549415845597	OK	 
