RUN	learngatling.SetUpUserLoad	setupuserload	1549427841598	 	3.0.2
USER	SE1	1	START	1549427844457	1549427844457
USER	SE1	2	START	1549427844491	1549427844491
USER	SE2	4	START	1549427844494	1549427844494
USER	SE2	5	START	1549427844497	1549427844497
USER	SE1	3	START	1549427846490	1549427846490
USER	SE2	6	START	1549427847468	1549427847468
USER	SE1	7	START	1549427848469	1549427848469
USER	SE1	8	START	1549427850466	1549427850466
USER	SE2	9	START	1549427850466	1549427850466
USER	SE1	10	START	1549427852465	1549427852465
REQUEST	6		Homepage	1549427847469	1549427856368	OK	 
REQUEST	2		Homepage	1549427844491	1549427856368	OK	 
REQUEST	9		Homepage	1549427850467	1549427856368	OK	 
REQUEST	10		Homepage	1549427852465	1549427856455	OK	 
REQUEST	7		Homepage	1549427848472	1549427856516	OK	 
REQUEST	8		Homepage	1549427850467	1549427856725	OK	 
REQUEST	3		Homepage	1549427846491	1549427857626	OK	 
REQUEST	4		Homepage	1549427844496	1549427857862	OK	 
REQUEST	5		Homepage	1549427844498	1549427857878	OK	 
REQUEST	1		Homepage	1549427844483	1549427857971	OK	 
REQUEST	8		SearchFlight	1549427879820	1549427880117	OK	 
REQUEST	7		SearchFlight	1549427879851	1549427880115	OK	 
REQUEST	10		SearchFlight	1549427880308	1549427880559	OK	 
REQUEST	2		SearchFlight	1549427880298	1549427880569	OK	 
REQUEST	3		SearchFlight	1549427880585	1549427880821	OK	 
REQUEST	1		SearchFlight	1549427880595	1549427880873	OK	 
REQUEST	4		SearchFlight	1549427891377	1549427891613	OK	 
USER	SE1	8	END	1549427850466	1549427891638
USER	SE1	7	END	1549427848469	1549427891638
REQUEST	9		SearchFlight	1549427891615	1549427891854	OK	 
USER	SE1	10	END	1549427852465	1549427891989
REQUEST	6		SearchFlight	1549427891765	1549427892002	OK	 
REQUEST	5		SearchFlight	1549427891765	1549427892021	OK	 
USER	SE1	2	END	1549427844491	1549427892079
USER	SE1	3	END	1549427846490	1549427892317
USER	SE1	1	END	1549427844457	1549427892317
REQUEST	4		SelectFlight	1549427903066	1549427903349	OK	 
REQUEST	9		SelectFlight	1549427903309	1549427903546	OK	 
REQUEST	6		SelectFlight	1549427903435	1549427903674	OK	 
REQUEST	5		SelectFlight	1549427903457	1549427903704	OK	 
ERROR	BookFlight: Failed to build request: No attribute named 'name1' is defined 	1549427914995
