RUN	learngatling.SetUpUserLoad	setupuserload	1549413794997	 	3.0.2
USER	SE1	1	START	1549413798298	1549413798298
USER	SE2	2	START	1549413798327	1549413798327
REQUEST	2		Homepage	1549413798329	1549413810943	OK	 
REQUEST	1		Homepage	1549413798324	1549413811700	OK	 
REQUEST	1		SearchFlight	1549413825105	1549413825467	OK	 
REQUEST	2		SearchFlight	1549413835907	1549413836170	OK	 
USER	SE1	1	END	1549413798298	1549413836941
REQUEST	2		SelectFlight	1549413847662	1549413848020	OK	 
REQUEST	2		BookFlight	1549413859676	1549413861628	OK	 
REQUEST	2		BookFlight Redirect 1	1549413861648	1549413861929	OK	 
USER	SE2	2	END	1549413798327	1549413863433
