RUN	myfirstpackage.SetUpUserLoadOpenSystem	setupuserloadopensystem	1549514469142	 	3.0.2
REQUEST	230		Homepage	1549514548163	1549514577792	OK	 
USER	SE2	320	START	1549514578158	1549514578158
USER	SE1	319	START	1549514578158	1549514578158
REQUEST	221		Homepage	1549514545161	1549514578410	OK	 
USER	SE1	321	START	1549514578660	1549514578660
REQUEST	224		Homepage	1549514546164	1549514578757	OK	 
USER	SE2	323	START	1549514579162	1549514579162
USER	SE1	322	START	1549514579162	1549514579162
REQUEST	232		Homepage	1549514549160	1549514579509	OK	 
USER	SE1	324	START	1549514579659	1549514579659
REQUEST	191		Homepage	1549514535149	1549514579757	OK	 
USER	SE2	326	START	1549514580160	1549514580160
USER	SE1	325	START	1549514580159	1549514580159
REQUEST	229		Homepage	1549514548163	1549514580486	OK	 
USER	SE1	327	START	1549514580664	1549514580664
USER	SE2	329	START	1549514581161	1549514581161
USER	SE1	328	START	1549514581161	1549514581161
REQUEST	208		Homepage	1549514541160	1549514581223	OK	 
USER	SE1	330	START	1549514581660	1549514581660
REQUEST	165		Homepage	1549514526662	1549514581662	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	332	START	1549514582162	1549514582162
USER	SE1	331	START	1549514582162	1549514582162
REQUEST	175		Homepage	1549514530161	1549514582466	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	225		Homepage	1549514546663	1549514582500	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	210		Homepage	1549514541659	1549514582549	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	333	START	1549514582664	1549514582664
REQUEST	223		Homepage	1549514546164	1549514582911	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	212		Homepage	1549514542162	1549514583057	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	335	START	1549514583162	1549514583162
USER	SE1	334	START	1549514583162	1549514583162
REQUEST	235		Homepage	1549514550160	1549514583211	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	178		Homepage	1549514531161	1549514583369	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	5		SearchFlight	1549514536151	1549514583477	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	237		Homepage	1549514550662	1549514583610	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	336	START	1549514583659	1549514583659
REQUEST	226		Homepage	1549514547159	1549514583678	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	238		Homepage	1549514551159	1549514584124	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	337	START	1549514584161	1549514584161
USER	SE2	338	START	1549514584161	1549514584161
USER	SE1	339	START	1549514584659	1549514584659
REQUEST	222		Homepage	1549514545659	1549514584770	OK	 
REQUEST	244		Homepage	1549514553154	1549514584785	OK	 
REQUEST	236		Homepage	1549514550160	1549514584873	OK	 
REQUEST	188		Homepage	1549514534163	1549514585060	OK	 
USER	SE1	340	START	1549514585162	1549514585162
USER	SE2	341	START	1549514585162	1549514585162
REQUEST	234		Homepage	1549514549659	1549514585578	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	342	START	1549514585664	1549514585664
REQUEST	241		Homepage	1549514552164	1549514585881	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	164		Homepage	1549514526161	1549514586162	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/35.170.37.11:443 after 60000 ms
USER	SE2	344	START	1549514586162	1549514586162
USER	SE1	343	START	1549514586162	1549514586162
REQUEST	206		Homepage	1549514540162	1549514586308	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	189		Homepage	1549514534649	1549514586311	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	170		Homepage	1549514528159	1549514586444	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE1	345	START	1549514586659	1549514586659
REQUEST	172		Homepage	1549514529162	1549514586738	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	243		Homepage	1549514552649	1549514587088	KO	status.find.in(200,201,202,304), but actually found 503
USER	SE2	347	START	1549514587159	1549514587159
USER	SE1	346	START	1549514587159	1549514587159
USER	SE1	348	START	1549514587662	1549514587662
REQUEST	239		Homepage	1549514551159	1549514587815	OK	 
REQUEST	233		Homepage	1549514549160	1549514587851	OK	 
REQUEST	246		Homepage	1549514553660	1549514587867	OK	 
REQUEST	260		Homepage	1549514558169	1549514587875	OK	 
REQUEST	202		Homepage	1549514539150	1549514587886	OK	 
USER	SE2	350	START	1549514588160	1549514588160
USER	SE1	349	START	1549514588160	1549514588160
REQUEST	220		Homepage	1549514545161	1549514588177	OK	 
REQUEST	7		SearchFlight	1549514563562	1549514588185	OK	 
REQUEST	242		Homepage	1549514552164	1549514588200	OK	 
REQUEST	280		Homepage	1549514565161	1549514588215	OK	 
REQUEST	323		Homepage	1549514579163	1549514588331	OK	 
REQUEST	227		Homepage	1549514547159	1549514588339	OK	 
REQUEST	281		Homepage	1549514565161	1549514588447	OK	 
REQUEST	288		Homepage	1549514567661	1549514588486	OK	 
REQUEST	273		Homepage	1549514562674	1549514588507	OK	 
REQUEST	291		Homepage	1549514568664	1549514588512	OK	 
REQUEST	252		Homepage	1549514555664	1549514588537	OK	 
REQUEST	209		Homepage	1549514541160	1549514588537	OK	 
REQUEST	266		Homepage	1549514560159	1549514588592	OK	 
REQUEST	290		Homepage	1549514568159	1549514588609	OK	 
USER	SE1	351	START	1549514588659	1549514588659
REQUEST	13		SearchFlight	1549514550559	1549514588670	OK	 
REQUEST	289		Homepage	1549514568159	1549514588916	OK	 
USER	SE2	353	START	1549514589159	1549514589159
USER	SE1	352	START	1549514589159	1549514589159
USER	SE1	354	START	1549514589660	1549514589660
REQUEST	292		Homepage	1549514569161	1549514589761	OK	 
REQUEST	271		Homepage	1549514562154	1549514589796	OK	 
REQUEST	294		Homepage	1549514569661	1549514589804	OK	 
REQUEST	16		SearchFlight	1549514563764	1549514589897	OK	 
REQUEST	272		Homepage	1549514562154	1549514589908	OK	 
REQUEST	276		Homepage	1549514563662	1549514589922	OK	 
REQUEST	257		Homepage	1549514557159	1549514589948	OK	 
REQUEST	261		Homepage	1549514558659	1549514589952	OK	 
REQUEST	305		Homepage	1549514573163	1549514589964	OK	 
REQUEST	303		Homepage	1549514572660	1549514589972	OK	 
USER	SE2	356	START	1549514590161	1549514590161
USER	SE1	355	START	1549514590161	1549514590161
REQUEST	10		SearchFlight	1549514573550	1549514590286	OK	 
REQUEST	203		Homepage	1549514539150	1549514590334	OK	 
REQUEST	270		Homepage	1549514561659	1549514590339	OK	 
REQUEST	201		Homepage	1549514538654	1549514590374	OK	 
REQUEST	287		Homepage	1549514567153	1549514590400	OK	 
REQUEST	274		Homepage	1549514563160	1549514590409	OK	 
REQUEST	314		Homepage	1549514576162	1549514590421	OK	 
REQUEST	319		Homepage	1549514578159	1549514590421	OK	 
REQUEST	231		Homepage	1549514548663	1549514590421	OK	 
REQUEST	214		Homepage	1549514543164	1549514590427	OK	 
REQUEST	302		Homepage	1549514572164	1549514590429	OK	 
REQUEST	8		SearchFlight	1549514578132	1549514590463	OK	 
REQUEST	313		Homepage	1549514576162	1549514590469	OK	 
REQUEST	211		Homepage	1549514542162	1549514590510	OK	 
REQUEST	268		Homepage	1549514561164	1549514590602	OK	 
USER	SE1	357	START	1549514590659	1549514590659
REQUEST	254		Homepage	1549514556160	1549514590692	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	34		SearchFlight	1549514578602	1549514590716	OK	 
REQUEST	328		Homepage	1549514581161	1549514590802	OK	 
REQUEST	215		Homepage	1549514543164	1549514590806	OK	 
REQUEST	179		Homepage	1549514531161	1549514591161	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/35.170.37.11:443 after 60000 ms
USER	SE2	359	START	1549514591162	1549514591162
USER	SE1	358	START	1549514591162	1549514591162
REQUEST	299		Homepage	1549514571149	1549514591203	OK	 
REQUEST	267		Homepage	1549514560663	1549514591247	OK	 
REQUEST	259		Homepage	1549514558159	1549514591449	OK	 
REQUEST	324		Homepage	1549514579659	1549514591456	OK	 
USER	SE1	360	START	1549514591658	1549514591658
REQUEST	180		Homepage	1549514531665	1549514591665	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/35.169.241.252:443 after 60000 ms
REQUEST	321		Homepage	1549514578660	1549514591985	OK	 
REQUEST	12		SearchFlight	1549514582343	1549514592079	OK	 
REQUEST	182		Homepage	1549514532163	1549514592163	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/35.170.37.11:443 after 60000 ms
REQUEST	306		Homepage	1549514573662	1549514592192	OK	 
REQUEST	322		Homepage	1549514579163	1549514592234	OK	 
REQUEST	263		Homepage	1549514559161	1549514592263	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	317		Homepage	1549514577160	1549514592264	OK	 
REQUEST	335		Homepage	1549514583163	1549514592290	OK	 
REQUEST	326		Homepage	1549514580160	1549514592301	OK	 
REQUEST	325		Homepage	1549514580160	1549514592584	OK	 
REQUEST	336		Homepage	1549514583659	1549514592655	OK	 
REQUEST	30		SearchFlight	1549514583533	1549514592901	OK	 
REQUEST	200		Homepage	1549514538163	1549514592949	OK	 
REQUEST	248		Homepage	1549514554165	1549514592992	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	194		Homepage	1549514536162	1549514592997	OK	 
REQUEST	315		Homepage	1549514576664	1549514593020	OK	 
REQUEST	19		SearchFlight	1549514576200	1549514593271	OK	 
REQUEST	284		Homepage	1549514566164	1549514593340	OK	 
REQUEST	282		Homepage	1549514565665	1549514593416	OK	 
REQUEST	333		Homepage	1549514582664	1549514593502	OK	 
REQUEST	318		Homepage	1549514577662	1549514593513	OK	 
REQUEST	27		SearchFlight	1549514586220	1549514593520	OK	 
REQUEST	312		Homepage	1549514575659	1549514593534	OK	 
REQUEST	219		Homepage	1549514544662	1549514594034	OK	 
REQUEST	277		Homepage	1549514564162	1549514594136	OK	 
REQUEST	193		Homepage	1549514536162	1549514594140	OK	 
REQUEST	250		Homepage	1549514555153	1549514594214	OK	 
REQUEST	320		Homepage	1549514578159	1549514594677	OK	 
REQUEST	255		Homepage	1549514556665	1549514594879	OK	 
REQUEST	285		Homepage	1549514566649	1549514594904	OK	 
REQUEST	334		Homepage	1549514583163	1549514594904	OK	 
REQUEST	253		Homepage	1549514556160	1549514594912	OK	 
REQUEST	22		SearchFlight	1549514580849	1549514594932	OK	 
REQUEST	195		Homepage	1549514536661	1549514595088	OK	 
REQUEST	28		SearchFlight	1549514566660	1549514595193	OK	 
REQUEST	310		Homepage	1549514575162	1549514595198	OK	 
REQUEST	304		Homepage	1549514573163	1549514595204	OK	 
REQUEST	245		Homepage	1549514553154	1549514595204	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	316		Homepage	1549514577160	1549514595214	OK	 
REQUEST	275		Homepage	1549514563160	1549514595287	OK	 
REQUEST	251		Homepage	1549514555153	1549514595310	OK	 
REQUEST	283		Homepage	1549514566163	1549514595366	OK	 
REQUEST	301		Homepage	1549514572164	1549514595642	OK	 
REQUEST	256		Homepage	1549514557159	1549514595717	OK	 
REQUEST	18		SearchFlight	1549514579875	1549514595961	OK	 
REQUEST	240		Homepage	1549514551662	1549514596043	OK	 
REQUEST	341		Homepage	1549514585163	1549514596083	OK	 
REQUEST	339		Homepage	1549514584660	1549514596278	OK	 
REQUEST	269		Homepage	1549514561164	1549514596386	OK	 
REQUEST	25		SearchFlight	1549514581061	1549514596492	OK	 
REQUEST	293		Homepage	1549514569161	1549514596626	OK	 
REQUEST	258		Homepage	1549514557660	1549514596671	OK	 
REQUEST	297		Homepage	1549514570650	1549514596697	OK	 
REQUEST	228		Homepage	1549514547664	1549514596728	OK	 
REQUEST	344		Homepage	1549514586163	1549514596868	OK	 
REQUEST	307		Homepage	1549514574161	1549514596968	OK	 
REQUEST	298		Homepage	1549514571149	1549514597014	OK	 
REQUEST	353		Homepage	1549514589160	1549514597365	OK	 
REQUEST	296		Homepage	1549514570164	1549514597376	OK	 
REQUEST	295		Homepage	1549514570164	1549514597380	OK	 
REQUEST	343		Homepage	1549514586163	1549514597385	OK	 
USER	SE1	2	END	1549514472704	1549514598203
REQUEST	352		Homepage	1549514589160	1549514598441	OK	 
REQUEST	265		Homepage	1549514560169	1549514598604	OK	 
REQUEST	331		Homepage	1549514582162	1549514598943	OK	 
REQUEST	300		Homepage	1549514571665	1549514598994	OK	 
REQUEST	332		Homepage	1549514582162	1549514599038	OK	 
REQUEST	311		Homepage	1549514575162	1549514599314	OK	 
REQUEST	278		Homepage	1549514564162	1549514599435	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	330		Homepage	1549514581661	1549514600006	OK	 
USER	SE1	1	END	1549514472166	1549514600492
USER	SE1	3	END	1549514473212	1549514600492
REQUEST	286		Homepage	1549514567153	1549514601012	OK	 
REQUEST	349		Homepage	1549514588160	1549514601078	OK	 
REQUEST	309		Homepage	1549514574664	1549514601687	OK	 
USER	SE1	5	END	1549514474214	1549514602581
REQUEST	308		Homepage	1549514574161	1549514603950	OK	 
REQUEST	279		Homepage	1549514564661	1549514604464	OK	 
REQUEST	356		Homepage	1549514590161	1549514604533	OK	 
REQUEST	345		Homepage	1549514586659	1549514605196	OK	 
USER	SE1	4	END	1549514473708	1549514605938
REQUEST	43		SearchFlight	1549514590903	1549514613684	OK	 
REQUEST	358		Homepage	1549514591162	1549514614155	OK	 
REQUEST	247		Homepage	1549514554165	1549514614165	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/52.54.218.210:443 after 60000 ms
REQUEST	359		Homepage	1549514591162	1549514614505	OK	 
REQUEST	249		Homepage	1549514554651	1549514614652	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/54.210.223.189:443 after 60000 ms
REQUEST	264		Homepage	1549514559672	1549514615883	OK	 
REQUEST	262		Homepage	1549514559161	1549514619163	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/54.236.102.155:443 after 60000 ms
REQUEST	45		SearchFlight	1549514592182	1549514620122	OK	 
REQUEST	51		SearchFlight	1549514593929	1549514626099	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
USER	SE1	15	END	1549514476653	1549514626354
REQUEST	360		Homepage	1549514591659	1549514626882	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	340		Homepage	1549514585163	1549514627715	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	337		Homepage	1549514584161	1549514628008	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	36		SearchFlight	1549514597799	1549514628097	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	329		Homepage	1549514581161	1549514628235	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	61		SearchFlight	1549514597819	1549514628356	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	49		SearchFlight	1549514597809	1549514628366	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	24		SearchFlight	1549514597809	1549514628392	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	355		Homepage	1549514590161	1549514628401	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	39		SearchFlight	1549514597864	1549514628405	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	162		SearchFlight	1549514597879	1549514628410	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	17		SearchFlight	1549514598223	1549514628592	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	58		SearchFlight	1549514599912	1549514630348	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	33		SearchFlight	1549514598192	1549514630731	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	351		Homepage	1549514588659	1549514630964	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	55		SearchFlight	1549514597799	1549514631103	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	354		Homepage	1549514589660	1549514632449	OK	 
REQUEST	112		SearchFlight	1549514611321	1549514632741	OK	 
REQUEST	40		SearchFlight	1549514610453	1549514632774	OK	 
REQUEST	37		SearchFlight	1549514599933	1549514633789	OK	 
REQUEST	241		SearchFlight	1549514606762	1549514634278	OK	 
REQUEST	26		SearchFlight	1549514610399	1549514634308	OK	 
REQUEST	64		SearchFlight	1549514599922	1549514634366	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	117		SearchFlight	1549514608459	1549514634562	OK	 
REQUEST	72		SearchFlight	1549514600529	1549514634697	OK	 
REQUEST	175		SearchFlight	1549514602581	1549514634913	OK	 
REQUEST	186		SearchFlight	1549514604143	1549514635898	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	199		SearchFlight	1549514599922	1549514636300	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	120		SearchFlight	1549514599969	1549514636393	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	342		Homepage	1549514585664	1549514636494	OK	 
REQUEST	169		SearchFlight	1549514602922	1549514636540	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	348		Homepage	1549514587663	1549514636907	OK	 
REQUEST	198		SearchFlight	1549514599489	1549514636931	OK	 
REQUEST	54		SearchFlight	1549514623091	1549514636980	OK	 
REQUEST	73		SearchFlight	1549514604143	1549514637172	OK	 
REQUEST	75		SearchFlight	1549514603269	1549514637487	OK	 
REQUEST	234		SearchFlight	1549514608444	1549514637536	OK	 
REQUEST	79		SearchFlight	1549514602273	1549514637574	OK	 
REQUEST	81		SearchFlight	1549514601469	1549514637704	OK	 
REQUEST	171		SearchFlight	1549514604074	1549514638064	OK	 
REQUEST	93		SearchFlight	1549514608374	1549514638182	OK	 
REQUEST	109		SearchFlight	1549514608411	1549514638282	OK	 
REQUEST	88		SearchFlight	1549514604303	1549514638874	OK	 
REQUEST	237		SearchFlight	1549514606841	1549514639413	OK	 
REQUEST	52		SearchFlight	1549514599922	1549514639534	OK	 
REQUEST	327		Homepage	1549514580665	1549514640666	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/52.6.103.192:443 after 60000 ms
REQUEST	57		SearchFlight	1549514596561	1549514641070	OK	 
REQUEST	11		SearchFlight	1549514605269	1549514641084	OK	 
REQUEST	48		SearchFlight	1549514625862	1549514641541	OK	 
REQUEST	82		SearchFlight	1549514601734	1549514642104	OK	 
REQUEST	243		SearchFlight	1549514608492	1549514642617	OK	 
REQUEST	6		SelectFlight	1549514611251	1549514642628	KO	css((h1:contains('Book Flight'),None)).find.exists, found nothing
USER	SE1	16	END	1549514477152	1549514642744
REQUEST	338		Homepage	1549514584161	1549514644161	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/54.236.166.251:443 after 60000 ms
REQUEST	96		SearchFlight	1549514601759	1549514645875	OK	 
REQUEST	87		SearchFlight	1549514601833	1549514646387	OK	 
REQUEST	69		SearchFlight	1549514602074	1549514646519	OK	 
REQUEST	357		Homepage	1549514590660	1549514646806	OK	 
REQUEST	346		Homepage	1549514587159	1549514646994	OK	 
REQUEST	347		Homepage	1549514587159	1549514647160	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/54.236.166.251:443 after 60000 ms
REQUEST	210		SearchFlight	1549514602672	1549514647447	OK	 
REQUEST	350		Homepage	1549514588160	1549514648117	KO	status.find.in(200,201,202,304), but actually found 503
REQUEST	42		SearchFlight	1549514598223	1549514648635	OK	 
USER	SE1	28	END	1549514481162	1549514648879
USER	SE1	51	END	1549514488659	1549514649560
REQUEST	123		SearchFlight	1549514615124	1549514649752	OK	 
REQUEST	70		SearchFlight	1549514613513	1549514650013	OK	 
REQUEST	20		SearchFlight	1549514606050	1549514650352	OK	 
REQUEST	85		SearchFlight	1549514606062	1549514650553	OK	 
REQUEST	115		SearchFlight	1549514624064	1549514650746	OK	 
REQUEST	108		SearchFlight	1549514631702	1549514651156	OK	 
REQUEST	91		SearchFlight	1549514611112	1549514651754	OK	 
REQUEST	94		SearchFlight	1549514606819	1549514651933	OK	 
USER	SE1	9	END	1549514474661	1549514651994
REQUEST	60		SearchFlight	1549514608459	1549514652160	OK	 
REQUEST	23		SearchFlight	1549514606553	1549514652644	OK	 
REQUEST	14		SearchFlight	1549514636563	1549514652834	OK	 
REQUEST	63		SearchFlight	1549514598500	1549514653114	OK	 
REQUEST	103		SearchFlight	1549514602981	1549514653280	OK	 
REQUEST	189		SearchFlight	1549514610453	1549514653316	OK	 
REQUEST	148		SearchFlight	1549514645050	1549514653480	OK	 
REQUEST	105		SearchFlight	1549514642139	1549514653773	OK	 
REQUEST	133		SearchFlight	1549514641223	1549514654006	OK	 
REQUEST	106		SearchFlight	1549514610340	1549514654047	OK	 
REQUEST	225		SearchFlight	1549514602970	1549514654122	OK	 
REQUEST	190		SearchFlight	1549514643928	1549514654155	OK	 
REQUEST	99		SearchFlight	1549514602922	1549514654266	OK	 
REQUEST	177		SearchFlight	1549514648093	1549514654550	OK	 
REQUEST	50		SearchFlight	1549514642149	1549514654563	OK	 
REQUEST	235		SearchFlight	1549514605189	1549514654819	OK	 
REQUEST	212		SearchFlight	1549514642250	1549514655197	OK	 
USER	SE1	30	END	1549514481661	1549514655299
REQUEST	78		SearchFlight	1549514603072	1549514655392	OK	 
REQUEST	113		SearchFlight	1549514644371	1549514655561	OK	 
REQUEST	35		SearchFlight	1549514647734	1549514655705	OK	 
REQUEST	138		SearchFlight	1549514651089	1549514655871	OK	 
REQUEST	67		SearchFlight	1549514602203	1549514656009	OK	 
REQUEST	116		SearchFlight	1549514648304	1549514656183	OK	 
REQUEST	44		SearchFlight	1549514648319	1549514656189	OK	 
REQUEST	135		SearchFlight	1549514651929	1549514657125	OK	 
REQUEST	46		SearchFlight	1549514597830	1549514657266	OK	 
REQUEST	174		SearchFlight	1549514651493	1549514657333	OK	 
USER	SE1	162	END	1549514525660	1549514657540
REQUEST	74		SearchFlight	1549514649410	1549514657564	OK	 
USER	SE1	24	END	1549514479650	1549514657599
REQUEST	165		SearchFlight	1549514603414	1549514657633	OK	 
REQUEST	153		SearchFlight	1549514644312	1549514657734	OK	 
REQUEST	154		SearchFlight	1549514651471	1549514657802	OK	 
REQUEST	163		SearchFlight	1549514598419	1549514657834	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	166		SearchFlight	1549514598270	1549514657858	OK	 
REQUEST	66		SearchFlight	1549514603519	1549514658095	OK	 
REQUEST	100		SearchFlight	1549514603519	1549514658556	OK	 
USER	SE1	39	END	1549514484663	1549514658683
REQUEST	38		SearchFlight	1549514644334	1549514658687	OK	 
REQUEST	132		SearchFlight	1549514641969	1549514658977	OK	 
USER	SE1	61	END	1549514492163	1549514658983
USER	SE1	13	END	1549514476163	1549514658994
REQUEST	104		SearchFlight	1549514642351	1549514659165	OK	 
REQUEST	136		SearchFlight	1549514651541	1549514659274	OK	 
REQUEST	126		SearchFlight	1549514642250	1549514659423	OK	 
REQUEST	147		SearchFlight	1549514642463	1549514659617	OK	 
REQUEST	159		SearchFlight	1549514652209	1549514660291	OK	 
REQUEST	337		SearchFlight	1549514652010	1549514660340	OK	 
REQUEST	21		SearchFlight	1549514600470	1549514660471	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/52.20.250.191:443 after 60000 ms
REQUEST	205		SearchFlight	1549514600518	1549514660519	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/52.6.103.192:443 after 60000 ms
REQUEST	59		SearchFlight	1549514644382	1549514660623	OK	 
REQUEST	97		SearchFlight	1549514603519	1549514660771	OK	 
REQUEST	111		SearchFlight	1549514655354	1549514660906	OK	 
REQUEST	76		SearchFlight	1549514601092	1549514661092	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/54.210.223.189:443 after 60000 ms
REQUEST	156		SearchFlight	1549514651869	1549514661883	OK	 
REQUEST	101		SearchFlight	1549514642862	1549514662023	OK	 
USER	SE1	36	END	1549514483661	1549514662158
USER	SE1	19	END	1549514478159	1549514662158
REQUEST	56		SearchFlight	1549514656051	1549514662470	OK	 
REQUEST	31		SearchFlight	1549514602581	1549514662582	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/52.20.250.191:443 after 60000 ms
REQUEST	216		SearchFlight	1549514603519	1549514662655	OK	 
USER	SE1	186	END	1549514533662	1549514663478
ERROR	BookFlight: Failed to build request: No attribute named 'authToken' is defined 	1549514663509
REQUEST	84		SearchFlight	1549514603519	1549514663519	KO	i.g.h.c.i.RequestTimeoutException: Request timeout to cheeze-flight-booker.herokuapp.com/54.210.223.189:443 after 60000 ms
REQUEST	145		SearchFlight	1549514647232	1549514663665	OK	 
USER	SE1	199	END	1549514538163	1549514664203
USER	SE1	64	END	1549514493151	1549514664218
USER	SE1	55	END	1549514490162	1549514664284
REQUEST	178		SearchFlight	1549514606808	1549514664296	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
USER	SE1	34	END	1549514483150	1549514664341
REQUEST	157		SearchFlight	1549514646501	1549514664530	OK	 
REQUEST	98		SearchFlight	1549514643784	1549514665080	OK	 
USER	SE1	169	END	1549514528158	1549514665559
USER	SE1	120	END	1549514511660	1549514668990
USER	SE1	12	END	1549514475659	1549514669463
USER	SE1	10	END	1549514475161	1549514670442
USER	SE1	27	END	1549514480659	1549514670462
REQUEST	144		SearchFlight	1549514654363	1549514670901	OK	 
USER	SE1	33	END	1549514482648	1549514670911
USER	SE1	58	END	1549514491161	1549514673164
REQUEST	238		SearchFlight	1549514655148	1549514676993	OK	 
REQUEST	102		SearchFlight	1549514654629	1549514677578	OK	 
REQUEST	285		SearchFlight	1549514657833	1549514681947	OK	 
REQUEST	118		SearchFlight	1549514656412	1549514686890	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	223		SearchFlight	1549514652021	1549514689875	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	360		SearchFlight	1549514658094	1549514689887	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	151		SearchFlight	1549514655879	1549514689952	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	89		SearchFlight	1549514657929	1549514689987	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	124		SearchFlight	1549514656530	1549514689990	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	226		SearchFlight	1549514654704	1549514690003	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	253		SearchFlight	1549514659462	1549514690003	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	183		SearchFlight	1549514659509	1549514690005	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	77		SearchFlight	1549514659521	1549514690022	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
REQUEST	17		SelectFlight	1549514651950	1549514690516	KO	css((h1:contains('Book Flight'),None)).find.exists, found nothing
REQUEST	173		SearchFlight	1549514660858	1549514691310	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 503
